,Household total,0.2,0.4,0.6,0.8,1.0
2022-04-07 18:45:00,288.445512221321,39.74854,46.961535000000005,44.210415,47.77069,53.26517999999999
2022-04-07 19:00:00,306.641245697788,24.613575,23.750485,23.534699999999994,24.30534,30.061845000000005
2022-04-07 19:15:00,321.109758276672,23.280405,21.785399,27.295340999999993,26.247275000000002,30.971180000000004
2022-04-07 19:30:00,330.266673721172,23.511591,21.831644,26.023805000000003,29.368303999999995,33.19827599999999
2022-04-07 19:45:00,312.167802154951,21.685225,26.077745000000004,24.22827999999999,23.164794,28.10448600000001
2022-04-07 20:00:00,311.935034964373,6.742917,10.888848000000001,7.590598,7.852610999999996,8.461392000000004
2022-04-07 20:15:00,297.039283404257,6.8122725,9.663563500000002,11.081503999999999,6.010830000000002,7.814073999999998
2022-04-07 20:30:00,269.591397957049,7.7138963,6.8970397000000006,7.305469,10.572898999999996,10.626836000000004
2022-04-07 20:45:00,244.266057875839,6.1110096,6.588791400000001,6.349902999999998,6.812271000000003,8.122327999999996
2022-04-07 21:00:00,274.276037378281,11.821296,11.960011000000002,9.301373000000002,14.479934,15.358428999999994
2022-04-07 21:15:00,300.092090989486,11.3666315,9.363020500000001,12.954107999999998,11.227919999999997,19.666190000000007
2022-04-07 21:30:00,324.925210229519,11.358925,10.788665000000002,11.073796000000002,11.073794,14.58012
2022-04-07 21:45:00,332.730067541721,9.979518,10.657659999999998,10.965908000000002,10.780964,16.37565
2022-04-07 22:00:00,309.439262601247,15.743749,19.858851,25.291714,22.949031999999995,27.511114000000006
2022-04-07 22:15:00,306.618329719867,12.676683,16.39107,23.735060999999998,20.68341600000001,31.47207999999999
2022-04-07 22:30:00,305.893061821697,15.5433855,17.8552465,22.409598000000003,18.57192,28.921325999999993
2022-04-07 22:45:00,290.035143288949,13.146761,15.227428999999999,22.925916,23.573238000000003,32.127121
2022-04-07 23:00:00,267.223328347035,38.885445,53.758395,53.442430000000016,61.36436999999998,47.58575000000002
2022-04-07 23:15:00,242.656333270538,38.51555,54.220755000000004,57.53443499999999,67.59868,55.81594000000001
2022-04-07 23:30:00,227.59444252211,42.28387,54.01269,52.42523,58.14320000000001,49.21171000000001
